Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run XY for exactly 2 B, Integer, z3, SUPP, None, SAT, 3, 1
Run XY for exactly 2 B, Integer, z3, SUPP, None, UNSAT, 4, 0
Run XY for exactly 2 B, Integer, z3, MAXSUPP, None, SAT, 0, 26
Run XY for exactly 2 B, Integer, z3, MAXSUPP, None, SAT, 1, 5
Run XY for exactly 2 B, Integer, z3, MAXSUPP, None, SAT, 2, 5
Run XY for exactly 2 B, Integer, z3, MAXSUPP, None, SAT, 3, 3
Run XY for exactly 2 B, Integer, z3, MAXSUPP, None, UNSAT, 4, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 0, 27
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 1, 3
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 2, 3
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 3, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 4, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 5, 3
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 6, 5
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 7, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 8, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 9, 1
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 10, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 11, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 12, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 13, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 14, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 15, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 16, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 17, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 18, 1
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 19, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 20, 3
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 21, 3
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 22, 3
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 23, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 24, 1
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 25, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 26, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 27, 1
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 28, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 29, 2
Run XY for exactly 2 B, Integer, z3, NAIVE_QT, None, SAT, 30, 2
Run XY for exactly 2 B, Integer, z3, SDST, LEX, SAT, 0, 19
Run XY for exactly 2 B, Integer, z3, SDST, LEX, INFINITE, 1, 2
Run XY for exactly 2 B, Integer, z3, SDST, LEX, INFINITE, 2, 3
Run XY for exactly 2 B, Integer, z3, SDST, LEX, INFINITE, 3, 3
Run XY for exactly 2 B, Integer, z3, SDST, LEX, INFINITE, 4, 2
Run XY for exactly 2 B, Integer, z3, SDST, LEX, INFINITE, 5, 3
Run XY for exactly 2 B, Integer, z3, SDST, LEX, INFINITE, 6, 6
Run XY for exactly 2 B, Integer, z3, SDST, LEX, INFINITE, 7, 6
