Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run Connected for 5, Integer, z3, SUPP, None, SAT, 13, 29
Run Connected for 5, Integer, z3, SUPP, None, SAT, 14, 33
Run Connected for 5, Integer, z3, SUPP, None, SAT, 15, 24
Run Connected for 5, Integer, z3, SUPP, None, SAT, 16, 25
Run Connected for 5, Integer, z3, SUPP, None, SAT, 17, 36
Run Connected for 5, Integer, z3, SUPP, None, SAT, 18, 34
Run Connected for 5, Integer, z3, SUPP, None, SAT, 19, 31
Run Connected for 5, Integer, z3, SUPP, None, SAT, 20, 29
Run Connected for 5, Integer, z3, SUPP, None, SAT, 21, 26
Run Connected for 5, Integer, z3, SUPP, None, SAT, 22, 26
Run Connected for 5, Integer, z3, SUPP, None, SAT, 23, 26
Run Connected for 5, Integer, z3, SUPP, None, SAT, 24, 37
Run Connected for 5, Integer, z3, SUPP, None, SAT, 25, 44
Run Connected for 5, Integer, z3, SUPP, None, SAT, 26, 47
Run Connected for 5, Integer, z3, SUPP, None, SAT, 27, 34
Run Connected for 5, Integer, z3, SUPP, None, SAT, 28, 31
Run Connected for 5, Integer, z3, SUPP, None, SAT, 29, 35
Run Connected for 5, Integer, z3, SUPP, None, SAT, 30, 41
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 0, 148
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 1, 23873
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 2, 3616
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 3, 5798
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 4, 3116
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 5, 4304
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 6, 2391
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 7, 5765
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 8, 1180
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 9, 5754
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 10, 1390
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 11, 5018
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 12, 964
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 13, 5443
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 14, 556
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 15, 1953
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 16, 608
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 17, 3751
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 18, 554
Run Count for 5, Integer, z3, MAXSUPP, None, SAT, 19, 3026
