Command, Domain, Solver, Iteration Operation, Priority, SAT, Solution nº, Response Time(ms)
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 20, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 21, 9
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 22, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 23, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 24, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 25, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 26, 5
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 27, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 28, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 29, 6
Run threeNodes for 4 but exactly 3 Node, Integer, z3, SUPP, None, SAT, 30, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 0, 38
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 1, 15
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 2, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 3, 11
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 4, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 5, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 6, 7
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 7, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 8, 10
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 9, 8
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 10, 12
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 11, 17
Run threeNodes for 4 but exactly 3 Node, Integer, z3, MAXSUPP, None, SAT, 12, 11
